Name,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #

"2.2uF","Capacitor SMD 0603 16V","C1, C2, C10, C11","CAPC1608X90N","CAP_0603_16V","4","C23630"
"22uF","Capacitor SMD 0805 16V","C3, C4","CAPC2012X95L","CAP_0805_16V","2","C45783"
"100nF","Capacitor SMD 0402 16V","C5, C8, C9, C12, C13, C14, C15, C16","CAPC1005X55N","CAP_0402_16V","8","C1525"
"10nF","Capacitor SMD 0402 16V","C6","CAPC1005X55N","CAP_0402_16V","1","C15195"
"2.2nF","Capacitor SMD 0402 16V","C7","CAPC1005X55N","CAP_0402_16V","1","C1531"
"10pF","Capacitor SMD 0402 16V","C17, C18","CAPC1005X55N","CAP_0402_16V","2","C32949"
"LED_0402_RED","LED RED SMD 0402","D1","LEDC0402","LED_0402_RED","1","C74339"
"LED_0402_GREEN","LED GREEN SMD 0402","D2","LEDC0402","LED_0402_GREEN","1","C130723"
"120R","Ferrite Bead SMD 0603","FB1","FBC1608X95L","FB_0603","1","C42102"
"473460001","CONN RCPT USB2.0 MICRO B SMD R/A","J1","FP-473460001-MFG","CMP-2000-05246-2","1","C132560"
"SM06B-GHS-TB","Header Connector 6-Pin","J2","SM06B-GHS-TB","SM06B-GHS-TB","1","C133065"
"M22-2010305","CONN HEADER VERT 3POS 2MM","J3","FP-M22-2010305-MFG","CMP-15831-000100-1","1",""
"TSW-103-08-G-D-RA","CONN HEADER R/A 6POS 2.54MM","J4","FP-TSW-103-08-G-D-RA-MFG","CMP-02766-000904-1","1","C3346089"
"1k","Resistor SMD 0402","R1, R4","RESC1005X37L","RES_0402","2","C11702"
"2k2","Resistor SMD 0402","R2, R3","RESC1005X37L","RES_0402","2","C25879"
"10k","Resistor SMD 0402","R5","RESC1005X37N","RES_0402","1","C25744"
"100k","Resistor SMD 0402","R6","RESC1005X37N","RES_0402","1","C25530"
"0R","Resistor SMD 0402","R7","RESC1005X37N","RES_0402","1","C21376"
"147873-2","SWITCH TACTILE SPST-NO 0.05A 24V","SW1","FP-147873-2-MFG","CMP-03402-000024-1","1","C843677"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U1","FP-AMS1117-IPC_C","CMP-209535-000001-1","1","C6186"
"STM32F411CEU6","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray","U2","STM-UFQFPN48_L","CMP-0243-00165-1","1","C60420"
"MPU-6050","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel","U3","IS-QFN-24_V","CMP-1753-00002-2","1","C24112"
"24MHz","CRYSTAL 24.0000MHZ 9PF SMD","Y1","FP-TSX-3225-MFG","CMP-36405-000018-1","1","C2650460"
