"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"J4","TSW-103-08-G-D-RA","Top","FP-TSW-103-08-G-D-RA-MFG","21.0500","29.1800","180","CONN HEADER R/A 6POS 2.54MM"
"Y1","24MHz","Top","FP-TSX-3225-MFG","7.8000","12.2000","0","CRYSTAL 24.0000MHZ 9PF SMD"
"U3","MPU-6050","Top","IS-QFN-24_V","6.8000","25.4500","270","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U2","STM32F411CEU6","Top","STM-UFQFPN48_L","16.8000","17.2000","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U1","AMS1117-3.3","Top","FP-AMS1117-IPC_C","24.0500","5.7000","270","LDO Voltage Regulators 1A, 3.3V"
"SW1","147873-2","Top","FP-147873-2-MFG","30.5500","27.9500","0","SWITCH TACTILE SPST-NO 0.05A 24V"
"R7","0R","Top","RESC1005X37N","9.3500","16.4500","0","Resistor SMD 0402"
"R6","100k","Top","RESC1005X37N","9.3000","29.6500","90","Resistor SMD 0402"
"R5","10k","Top","RESC1005X37N","14.3000","30.0000","90","Resistor SMD 0402"
"R4","1k","Top","RESC1005X37L","22.1500","14.9500","0","Resistor SMD 0402"
"R3","2k2","Top","RESC1005X37L","15.9500","24.7500","0","Resistor SMD 0402"
"R2","2k2","Top","RESC1005X37L","17.9500","24.7500","180","Resistor SMD 0402"
"R1","1k","Top","RESC1005X37L","31.0500","7.6000","90","Resistor SMD 0402"
"J3","M22-2010305","Top","FP-M22-2010305-MFG","9.3000","32.4500","180","CONN HEADER VERT 3POS 2MM"
"J2","SM06B-GHS-TB","Top","SM06B-GHS-TB","12.1654","4.0793","0","Header Connector 6-Pin"
"J1","473460001","Top","FP-473460001-MFG","32.9700","18.4500","90","CONN RCPT USB2.0 MICRO B SMD R/A"
"FB1","120R","Top","FBC1608X95L","27.4800","16.1750","180","Ferrite Bead SMD 0603"
"D2","LED_0402_GREEN","Top","LEDC0402","22.1000","13.9500","180","LED GREEN SMD 0402"
"D1","LED_0402_RED","Top","LEDC0402","31.0500","5.6500","90","LED RED SMD 0402"
"C18","10pF","Top","CAPC1005X55N","9.3400","14.9500","0","Capacitor SMD 0402 16V"
"C17","10pF","Top","CAPC1005X55N","7.0600","14.9200","180","Capacitor SMD 0402 16V"
"C16","100nF","Top","CAPC1005X55N","14.3000","22.2000","0","Capacitor SMD 0402 16V"
"C15","100nF","Top","CAPC1005X55N","21.8000","20.2400","270","Capacitor SMD 0402 16V"
"C14","100nF","Top","CAPC1005X55N","20.5167","12.2333","180","Capacitor SMD 0402 16V"
"C13","100nF","Top","CAPC1005X55N","11.8000","15.7000","90","Capacitor SMD 0402 16V"
"C12","100nF","Top","CAPC1005X55N","11.8000","19.4900","270","Capacitor SMD 0402 16V"
"C11","2.2uF","Top","CAPC1608X90N","10.3000","19.7000","270","Capacitor SMD 0603 16V"
"C10","2.2uF","Top","CAPC1608X90N","17.8125","12.2000","180","Capacitor SMD 0603 16V"
"C9","100nF","Top","CAPC1005X55N","15.5500","29.9900","270","Capacitor SMD 0402 16V"
"C8","100nF","Top","CAPC1005X55N","6.0100","22.1500","0","Capacitor SMD 0402 16V"
"C7","2.2nF","Top","CAPC1005X55N","10.3000","24.2400","270","Capacitor SMD 0402 16V"
"C6","10nF","Top","CAPC1005X55N","3.3000","26.4100","270","Capacitor SMD 0402 16V"
"C5","100nF","Top","CAPC1005X55N","3.3000","24.4900","270","Capacitor SMD 0402 16V"
"C4","22uF","Top","CAPC2012X95L","28.8000","5.9500","90","Capacitor SMD 0805 16V"
"C3","22uF","Top","CAPC2012X95L","24.0500","11.2000","0","Capacitor SMD 0805 16V"
"C2","2.2uF","Top","CAPC1608X90N","26.5500","13.6875","270","Capacitor SMD 0603 16V"
"C1","2.2uF","Top","CAPC1608X90N","28.3000","13.6875","270","Capacitor SMD 0603 16V"
